computer_name,os_version,windows_build_number,logged_user,bios_vendor,bios_version,mac_address,city,state,country,latitude,longitude
prd00601-Jim F Surface,Windows 10,10.0.15063,jfrench,American Megatrends Inc.,3.11.2150,28:18:78:FF:7B:AA,Mountain View,California,United States,37.388191,-122.05467850000001
PRD00616-Andy B,Windows 7,6.1.7601,behra,American Megatrends Inc.,V2.00L15,10:4A:7D:1A:C5:CF,Lakewood,Colorado,United States,39.6819254,-105.08644969999999
Liana Mortazavil,Mac High Sierra,10.13.6,mortazavil,Apple,428.0.0.0.0,8C:85:90:7B:B8:A7,None,California,United States,37.3075517,-122.01898309999999
PRD00772,Windows 10,10.0.19042,kamair,Microsoft Corporation,235.3440.768,BC:83:85:F9:9E:65,Cupertino,California,United States,37.305262,-122.05442140000001
PRD00935-Kunal Bajaj-Desktop,Windows 10,10.0.19041,kk53217,Dell Inc.,2.2.0,00:FF:F0:42:19:F9,Fremont,California,United States,37.521069,-121.9831459
LAPTOP-51R350NS,Windows 10,10.0.19041,User,American Megatrends Internationa,UX435EG.305,78:2B:46:79:3A:BA,None,California,United States,37.6914466,-122.0836818
PRDCA-TEST-1,Windows 10,10.0.19042,User,American Megatrends Inc.,V1.50L16,34:C7:31:AB:62:BB,None,California,United States,37.6919314,-122.0840786
PRDVM06,Windows 10,10.0.19041,yshih,Phoenix Technologies LTD,6.00,00:50:56:9A:B5:99,None,None,None,None,None
PRDVM05,Windows 10,10.0.19041,null,Phoenix Technologies LTD,6.00,00:50:56:9A:85:A9,None,None,None,None,None
PRDVM07,Windows 10,10.0.19042,yshih,Phoenix Technologies LTD,6.00,00:50:56:9A:47:12,None,None,None,None,None
PRD00778,Windows 10,10.0.19042,wli,Dell Inc.,2.6.0,CC:2F:71:9E:04:8F,Mountain View,California,United States,37.3881935,-122.0546619
PRD00809,Windows 10,10.0.19042,mstevens,Dell Inc.,1.1.16,B8:85:84:A0:15:38,Mountain View,California,United States,37.402016599999996,-122.08743189999998
PRD00941,Windows 10,10.0.19042,mstevens,American Megatrends Inc.,V2.00L22,08:71:90:6A:DF:97,Mountain View,California,United States,37.4019717,-122.0873638
PRD00875,Windows 10,10.0.19042,souriyadetha,American Megatrends Inc.,V2.00L22,08:71:90:6A:DF:6A,Santa Clara,California,United States,37.3574105,-121.99857630000001
PRD00854,Windows 10,10.0.19042,amy_yu,Dell Inc.,1.1.3,48:5F:99:67:DA:B3,Fremont,California,United States,37.526531399999996,-121.92731570000001
PRD00971,Windows 10,10.0.19042,nboerger,Dell Inc.,2.0.11,18:26:49:97:E9:A1,Palo Alto,California,United States,37.422647,-122.1242275
PRD00818,Windows 10,10.0.19043,jfrench,American Megatrends Inc.,V2.00L19,48:A4:72:92:7F:7F,Cupertino,California,United States,37.3231389,-122.0382744
PRD00925,Windows 10,10.0.18363,geisheimert,Dell Inc.,1.13.0,8C:C8:4B:3E:3A:3B,Bensalem Township,Pennsylvania,United States,40.101478400000005,-74.9568
PRD00972,Windows 10,10.0.19042,null,Dell Inc.,2.0.11,A4:BB:6D:DF:AD:39,Mountain View,California,United States,37.3882298,-122.05464379999998
PRD00983,Windows 10,10.0.19042,gohara_kunio,LENOVO,EHCN33WW,BC:17:B8:CB:10:92,None,California,United States,37.4558975,-122.186303
PRD00982,Windows 10,10.0.19043,yamamoto_shoma,LENOVO,EHCN40WW,38:FC:98:0C:83:7A,Palo Alto,California,United States,37.3950513,-122.1444976
PRD00981,Windows 10,10.0.19042,fujita_hironori,LENOVO,EHCN33WW,24:F5:A2:F1:55:4C,None,California,United States,37.4561468,-122.18648359999997
DESKTOP-VUK7OB9,Windows 10,10.0.19042,MediaAlliance,American Megatrends Inc.,GL502VSK.301,34:F3:9A:E5:17:B2,None,California,United States,37.2830358,-121.9992039
PRD00832,Windows 10,10.0.19043,nishikawat,Microsoft Corporation,109.3681.768,BC:83:85:00:55:54,Cupertino,California,United States,37.3175688,-122.0603487
PRD00940,Windows 10,10.0.19042,nishikawat,American Megatrends Inc.,V2.00L26,3C:6A:A7:96:20:2B,Cupertino,California,United States,37.317451299999995,-122.0605917
PRD00769,Windows 10,10.0.19043,fungp,Dell Inc.,1.2.0,02:50:F2:F9:64:26,Sunnyvale,California,United States,37.346112,-122.02899
PRD00556,Windows 10,10.0.19042,satoa,Dell Inc.,A08,58:EF:68:59:AC:7C,Burbank,California,United States,34.1771303,-118.3374289
win10-vm1,Windows 10,10.0.18363,null,Phoenix Technologies LTD,6.00,00:50:56:B0:96:2D,None,None,None,None,None
PRD00974,Windows 10,10.0.19041,kamair,American Megatrends Internationa,UX435EG.305,3C:9C:0F:2D:6D:6F,羽咋市,None,日本,36.9215035,136.8474665
USNJ017W2064,Windows 10,10.0.18363,YS74364,American Megatrends Inc.,V2.00L18,00:FF:63:40:AB:81,Sunnyvale,California,United States,37.3674276,-122.05675040000001
PRD00970,Windows 10,10.0.19042,mstelts,Dell Inc.,1.8.0,04:6C:59:0B:AD:F6,Upper Milford Township,Pennsylvania,United States,40.4944663,-75.48769999999999
spare-xps13-326,Windows 10,10.0.19042,jcarter,Dell Inc.,2.14.0,60:F6:77:D3:87:72,Marlborough,Massachusetts,United States,42.3203403,-71.58587179999999
spare-xps13-338,Windows 10,10.0.19042,jcarter,Dell Inc.,2.15.0,60:F6:77:D3:66:07,Marlborough,Massachusetts,United States,42.320345499999995,-71.5858583
spare-xps13-337,Windows 10,10.0.19042,null,Dell Inc.,2.15.0,60:F6:77:D3:82:F4,Marlborough,Massachusetts,United States,42.3203412,-71.5857719
spare-xps13-328,Windows 10,10.0.19042,jcarter,Dell Inc.,2.11.0,50:9A:4C:C7:CB:5D,Marlborough,Massachusetts,United States,42.3203299,-71.5858568
spare-xps-342,Windows 10,10.0.18362,jcarter,Dell Inc.,1.17.1,10:65:30:D2:88:13,Marlborough,Massachusetts,United States,42.3203523,-71.5858606
PRD00976,Windows 10,10.0.19042,ogiharas,American Megatrends Internationa,UX435EG.305,00:E0:4C:68:4D:2C,El Monte,California,United States,34.1091086,-118.08406590000001
chan-xps-354,Windows 10,10.0.19042,mchan,Dell Inc.,1.10.0,50:EB:71:24:52:ED,None,Massachusetts,United States,42.2159039,-71.537112
jenglish-xps334,Windows 10,10.0.19042,jenglish,Dell Inc.,1.19.2,9C:B6:D0:FA:34:5B,None,New York,United States,44.2710596,-73.9776428
swindell-xps-124,Windows 10,10.0.19043,swindells,Dell Inc.,1.22.1,98:48:27:78:CE:82,Marlborough,Massachusetts,United States,42.320330299999995,-71.5859457
liu-xps15-147,Windows 10,10.0.19043,monkey,Dell Inc.,1.6.0,8C:04:BA:84:98:94,None,Massachusetts,United States,42.515943199999995,-71.43127179999999
collins-xps-145,Windows 10,10.0.19042,CollinsH,Dell Inc.,1.11.1,00:E0:4C:68:12:C6,None,Massachusetts,United States,42.3717446,-71.21731710000002
swindell-opti-122,Windows 10,10.0.19042,null,Dell Inc.,A16,34:17:EB:C8:BD:0C,None,None,None,None,None
leto-xps8930-137,Windows 10,10.0.19042,RLeto,Dell Inc.,1.1.4,48:5F:99:BA:5F:59,None,Massachusetts,United States,42.371745399999995,-71.21733139999999
salah-m3800-104,Windows 10,10.0.18363,salaha,Dell Inc.,A12,8C:AE:4C:EC:52:7F,None,Massachusetts,United States,42.3717173,-71.21734719999999
cbrule-win10-111,Windows 10,10.0.19042,cbrule,American Megatrends Inc.,1602,08:62:66:48:48:C2,None,None,None,None,None
